case_id,title,category,critical,expected
SE-001,"Shipaton deadline/timezone",source,true,"Critical deadline retains original timezone and provenance."
SE-002,"Shipaton student path",source,true,"Conditional student eligibility is represented without flattening."
SE-003,"Shipaton submission artifacts",source,true,"Submission artifacts are separated from product features."
SE-004,"Shipaton categories",source,true,"General event scope is separated from category-specific criteria."
SE-005,"Swift regional age rules",source,true,"Jurisdiction-dependent age predicates are preserved."
SE-006,"Swift legal deadline",source,true,"Legal terms outrank matching summary copy for exact deadline."
SE-007,"Swift submission window",source,true,"Open window and final deadline are distinct."
SE-008,"Imagine Cup composite rules",source,true,"Eligibility, team size, technology and artifacts map to distinct fields."
SE-009,"HackMIT exception",source,true,"Applicable exception is preserved rather than simplified away."
SE-010,"Game Off deadline/repository",source,true,"Deadline and repository requirement remain distinct."
SE-011,"Game Off event page",source,true,"Related source corroborates without losing self-provenance."
SE-012,"Game Off team size",source,true,"Team guidance retains authority metadata."
SE-013,"Game Off deadline exception",source,true,"Applicable organizer extension/exception can update readiness."
SE-014,"Devpost exact window",source,true,"Timezone and legal age language are preserved."
SE-015,"Devpost eligibility schema",schema,false,"Eligibility is a critical structured field."
SE-016,"Devpost rules completeness",schema,false,"Deliverables, project requirements and prizes remain separate."
SE-017,"Devpost judging criteria",schema,false,"Judging criteria do not become eligibility predicates."
SE-018,"Google FreeBusy",calendar,false,"Busy intervals can be modeled without event titles."
SE-019,"Google recurrence",calendar,false,"Recurring event semantics are preserved."
SE-020,"RFC5545 recurrence",calendar,false,"RRULE/RDATE/EXDATE fixtures expand correctly."
SE-021,"CP-SAT capacity",solver,true,"Candidate allocations respect capacity limits."
SE-022,"CP-SAT precedence",solver,true,"Dependencies and non-overlap constraints hold."
SE-023,"Native PDF extraction",document,false,"Native text extraction preserves page provenance."
SE-024,"OCR necessity/cost",document,false,"Image-only text is routed to visual/OCR path."
SE-025,"Mixed PDF late fusion",document,true,"Native and OCR candidate reports reconcile field-by-field."
SE-026,"OCR engine disagreement",document,true,"OCR disagreement surfaces instead of being averaged away."
SE-027,"NIST trustworthy AI",governance,false,"Reliability, transparency, privacy and oversight controls are traceable."
SE-028,"NIST explainability",governance,true,"Displayed recommendations expose rationale and assumptions."
SE-029,"Time-management evidence",evidence,false,"Research remains supporting context, not product-effectiveness proof."
SE-030,"Timetable structure",calendar,false,"Availability preserves temporal block structure rather than weekly-hour totals."
