requirement_id,feature_ids,domain_rule_ids,evaluation_cases
"FR-001","F-001","DR-002;DR-026","SE-019;SE-020"
"FR-002","F-002","DR-015;DR-023;DR-026","SE-018;SE-019;SE-020;SE-030"
"FR-003","F-003","DR-028","SE-001;SE-014"
"FR-004","F-004","DR-003;DR-028","SE-023;SE-024"
"FR-005","F-005;F-006;F-007","DR-004;DR-005","SE-023;SE-024;SE-025;SE-026"
"FR-006","F-008","DR-006;DR-007;DR-008","SE-006;SE-011;SE-013;SE-025;SE-026"
"FR-007","F-008","DR-003;DR-009","SE-001;SE-003;SE-008;SE-017"
"FR-008","F-009","DR-006;DR-007","SE-009;SE-013;SE-025"
"FR-009","F-010","DR-010;DR-011;DR-012;DR-013","SE-002;SE-005;SE-009;SE-013"
"FR-010","F-011","DR-013","SE-003;SE-008;SE-016"
"FR-011","F-012","DR-014;DR-025","SE-029;SE-030"
"FR-012","F-002;F-013","DR-015;DR-023;DR-026","SE-018;SE-020;SE-030"
"FR-013","F-014","DR-016;DR-017","SE-021;SE-022"
"FR-014","F-015","DR-018;DR-019;DR-020","SE-028;SE-030"
"FR-015","F-016","DR-021","SE-028"
"FR-016","F-017","DR-001;DR-002","SE-027;SE-028"
"FR-017","F-018","DR-002;DR-027","SE-027"
"FR-018","F-019","DR-022;DR-025","SE-029"
"FR-019","F-020","DR-022;DR-028","SE-013"
"FR-020","F-021","DR-028","SE-001"
"FR-021","F-022","DR-024","SE-027"
"FR-022","F-023","DR-001;DR-002;DR-027","SE-027"
